"codigo","tipo","archivo","ruta_relativa","duracion_segundos","formato","codec_video","codec_audio","tamano_bytes","sha256"
"EV2-PAC-04_Walkthrough","Video","EV2-PAC-04_Walkthrough.mp4","03_Videos_Originales\EV2-PAC-04_Walkthrough.mp4","244,72","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","52393056","cb4f3271fed6983df7ca3c76e05dfa3499895f168b7d49f5c8b3d4f8dce1a4ce"
"EV2-PAC-05_Entrevista","Video","EV2-PAC-05_Entrevista.mp4","03_Videos_Originales\EV2-PAC-05_Entrevista.mp4","788,52","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","18178615","b17223b30b6a8c45cb0980edb357a086ae796b97474a9de828ce452c2cfd9d43"
"EV2-PAC-05_Walktrough","Video","EV2-PAC-05_Walktrough.mp4","03_Videos_Originales\EV2-PAC-05_Walktrough.mp4","263,36","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","8235128","80307bbde93d7a46383b5d6bad66fd55e1c4eda08e3d22f810343c8018459c98"
"EV2-PAC-06_Entrevista","Video","EV2-PAC-06_Entrevista.mp4","03_Videos_Originales\EV2-PAC-06_Entrevista.mp4","735,08","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","18297522","fe8c1ce8dbaba64f3ad44cd10e39226e02606f9d0539ca6a962a2d3a6f6e9f09"
"EV2-PAC-06_Walktrough","Video","EV2-PAC-06_Walktrough.mp4","03_Videos_Originales\EV2-PAC-06_Walktrough.mp4","165,48","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","5172293","c03c949c8de43efcf5f932b5a2c8e521df52b6a4ea4826c921a9399345141565"
"EV2-PAC-07_Entrevista","Video","EV2-PAC-07_Entrevista.mp4","03_Videos_Originales\EV2-PAC-07_Entrevista.mp4","565,76","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","13299198","b19a08c79069ddb4f0f120492a9d216c3d9b9e841daf87263d222c79eb78cc99"
"EV2-PAC-07_Walktrough","Video","EV2-PAC-07_Walktrough.mp4","03_Videos_Originales\EV2-PAC-07_Walktrough.mp4","189,23","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","5032276","ff6f552eb07dc9c0334f9693198864e568950374528be16a8f413b8c1684864b"
"EV2-PAC-08_Entrevista","Video","EV2-PAC-08_Entrevista.mp4","03_Videos_Originales\EV2-PAC-08_Entrevista.mp4","600,41","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","14891718","0f7da0435e839c111bb764b710608ad6285c40d2855543c7ffae537cf74d2a25"
"EV2-PAC-09_Entrevista","Video","EV2-PAC-09_Entrevista.mp4","03_Videos_Originales\EV2-PAC-09_Entrevista.mp4","456,6","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","10659881","88c84a003ee127120edd7718c089dda008587801e0f5bab0b9a65b594d69e456"
"EV2-PAC-09_Walktrough","Video","EV2-PAC-09_Walktrough.mp4","03_Videos_Originales\EV2-PAC-09_Walktrough.mp4","486,89","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","14761964","74619ea603843451b6a61a83718a7052cd4f27c8fc2040b4ae2e64ca18b7186c"
"EVA2-PAC-10_Entrevista","Video","EVA2-PAC-10_Entrevista.mp4","03_Videos_Originales\EVA2-PAC-10_Entrevista.mp4","193,78","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","19531310","87b3c8fcc39a0a450fe8670fdfa0ba280ddb4bc8b2745623a057d43e7a2b4a33"
"EVA2-PAC-10_Walkthrough","Video","EVA2-PAC-10_Walkthrough.mp4","03_Videos_Originales\EVA2-PAC-10_Walkthrough.mp4","81,06","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","9709818","42fb46d5464128e3eaaf50d2d8aa1104ade394cb53a8083cb4a5e94caf0cd1f4"
"EVA2-PAC-11_Entrevista.","Video","EVA2-PAC-11_Entrevista..mp4","03_Videos_Originales\EVA2-PAC-11_Entrevista..mp4","219,45","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","23385328","88d3cf5b39d52e13a12339997c7a2c1fe1d834327da456ef9f56a9c9fe4416ad"
"EVA2-PAC-11_Walkthrough","Video","EVA2-PAC-11_Walkthrough.mp4","03_Videos_Originales\EVA2-PAC-11_Walkthrough.mp4","218,3","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","24708323","35df1fca003d5b9abc520b0431f92c9eb3d4bf8b7376e79ec77b993d252f30c0"
"EVA2-PAC-12_Entrevista.","Video","EVA2-PAC-12_Entrevista..mp4","03_Videos_Originales\EVA2-PAC-12_Entrevista..mp4","28,23","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","3270656","84d870901260d6b9afabdc7a521f5fe39ba28a67281748d82cea7df296f1de8a"
"EVA2-PAC-12_Walkthrough","Video","EVA2-PAC-12_Walkthrough.mp4","03_Videos_Originales\EVA2-PAC-12_Walkthrough.mp4","28,23","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","3270656","84d870901260d6b9afabdc7a521f5fe39ba28a67281748d82cea7df296f1de8a"
"EVA2-PAC-13_Entrevista.","Video","EVA2-PAC-13_Entrevista..mp4","03_Videos_Originales\EVA2-PAC-13_Entrevista..mp4","220,23","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","23991366","2065a9a8b9a2ce5f8a60d63360dd19ad89da7aa68387bdb08df1d876f651307c"
"EVA2-PAC-13_Walkthrough","Video","EVA2-PAC-13_Walkthrough.mp4","03_Videos_Originales\EVA2-PAC-13_Walkthrough.mp4","292,29","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","7973543","a069a922d29990c95176a71874ed31a2f71fbb20b6915d1cb4a61070cb7157d2"
"EVA2-PAC-14_Entrevista","Video","EVA2-PAC-14_Entrevista.mp4","03_Videos_Originales\EVA2-PAC-14_Entrevista.mp4","118,89","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","13355947","0cb685adcc2ef108fb7125ff68f1484b08312a7118ef4c0f8a7a90c2dc391882"
"EVA2-PAC-14_Walkthrough","Video","EVA2-PAC-14_Walkthrough.mp4","03_Videos_Originales\EVA2-PAC-14_Walkthrough.mp4","118,89","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","13355947","0cb685adcc2ef108fb7125ff68f1484b08312a7118ef4c0f8a7a90c2dc391882"
"WALK-NTEC-01_Entrevista","Video","WALK-NTEC-01_Entrevista.mp4","03_Videos_Originales\WALK-NTEC-01_Entrevista.mp4","237,08","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","98028165","d1b2d8cb9a2dac19a47b9d7b92cc53a8e3920e65543cc1f92830c74f6a3fe63b"
"WALK-NTEC-01_Walktrough","Video","WALK-NTEC-01_Walktrough.mp4","03_Videos_Originales\WALK-NTEC-01_Walktrough.mp4","207,57","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","85357253","3c667272020daa545300c8d165ee6f902d3c19aced2d9d8f01e504a03a463d51"
"WALK-TEC-01_Entrevista","Video","WALK-TEC-01_Entrevista.mp4","03_Videos_Originales\WALK-TEC-01_Entrevista.mp4","1072,08","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","30457531","a84ec2e91652511454f0852b3cfef45b09953878701534057110f4a6fc709813"
"WALK-TEC-01_Preguntas_Adicionales_Entrevista","Video","WALK-TEC-01_Preguntas_Adicionales_Entrevista.mp4","03_Videos_Originales\WALK-TEC-01_Preguntas_Adicionales_Entrevista.mp4","546,54","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","16504454","292a969299b2243ef440746fa57d0ea828ad40e8cbf955999cf6501992be3a9f"
"WALK-TEC-01_Walkthrough","Video","WALK-TEC-01_Walkthrough.mp4","03_Videos_Originales\WALK-TEC-01_Walkthrough.mp4","561,36","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","12700814","932e1506f70488fbd4e08ea3c75790cf0e742afe47cd8a1efe681a6af15827f5"
"Walkthrough_walk_TEC-02","Video","Walkthrough_walk_TEC-02.mp4","03_Videos_Originales\Walkthrough_walk_TEC-02.mp4","239,51","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","5285575","edf2cdafc962c71e4ccae452cdda0ae3e57f703a2827ef5c61bb3605ae71db75"
