"Marca temporal","1. Acepta participar voluntariamente en este cuestionario con fines academicos?","2. Codigo del participante asignado por el entrevistador","3. Cual es su perfil dentro del estudio?","4. Ha recibido usted o la persona que cuida terapia fisica o rehabilitacion?","5. Le han enviado ejercicios para realizar en casa?","6. Que tan dificil le resulta recordar como hacer los ejercicios o cuantas repeticiones realizar?","7. Que tan importante seria recibir indicaciones claras con imagenes, videos o pasos sencillos?","8. Que tan importante seria recibir recordatorios para cumplir los ejercicios?","9. Cual ha sido o seria la dificultad principal al realizar ejercicios en casa?","10. Que tan importante seria registrar dolor despues de realizar ejercicios?","11. Que tan importante seria registrar cansancio o fatiga despues de realizar ejercicios?","12. Le gustaria ver el avance de la recuperacion de forma sencilla?","13. Aceptaria el uso de camara para revisar ejercicios si primero se solicita autorizacion?","14. Que informacion considera mas privada y debe protegerse?","15. Quien deberia poder ver el avance terapeutico?","4. Que informacion considera necesaria antes de iniciar una terapia fisica?","5. Que informacion terapeutica considera importante registrar durante el tratamiento?","6. Cual dificultad observa con mayor frecuencia cuando el paciente realiza ejercicios en casa?","7. Que aspectos toma en cuenta para saber si un ejercicio fue realizado correctamente?","8. Que tan importante considera mantener un historial organizado del tratamiento y evolucion del paciente?","9. Que indicadores utiliza o considera utiles para evaluar el progreso terapeutico?","10. Que situaciones considera importantes de detectar o atender durante el seguimiento terapeutico?","11. Que informacion deberia contener un reporte de avance terapeutico?","12. Que tan importante considera solicitar autorizacion antes de usar camara, imagenes o datos personales del paciente?","13. Desea agregar alguna recomendacion para mejorar el seguimiento de pacientes en terapia fisica?"
"2026/08/01 1:12:35 p.m. GMT-5","Si, acepto participar.","EV2-PAC-13","Paciente o ex paciente de terapia fisica","Si","Si","5","5","5","Olvidar la cantidad de repeticiones","5","5","Si","Si","Imagenes o videos","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/01 2:16:06 p.m. GMT-5","Si, acepto participar.","EV2-ENT-02 ","Paciente o ex paciente de terapia fisica","Si","Si","3","5","4","Olvidar los ejercicios","4","4","Si","Si, pero solo con autorizacion previa","Datos personales;Imagenes o videos;Datos de contacto","El paciente y el fisioterapeuta","","","","","","","","","",""
"2026/08/01 2:17:29 p.m. GMT-5","Si, acepto participar.","EV2-PAC-03","Paciente o ex paciente de terapia fisica","Si","Si","2","5","5","No saber si realiza bien el ejercicio","3","3","Si","Si","Datos personales;Reportes de avance;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/01 2:18:26 p.m. GMT-5","Si, acepto participar.","EV2-PAC-04","Paciente o ex paciente de terapia fisica","Si","Si","3","3","4","Falta de ayuda o supervision","5","5","Si","Si, pero solo con autorizacion previa","Imagenes o videos;Dolor o cansancio;Datos de contacto","El paciente y el fisioterapeuta","","","","","","","","","",""
"2026/08/01 2:22:48 p.m. GMT-5","Si, acepto participar.","EV2-PAC-01","Paciente o ex paciente de terapia fisica","Si","A veces","3","3","3","Falta de ayuda o supervision","3","4","Si","Si, pero solo con autorizacion previa","Historial de terapia;Dolor o cansancio;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 12:57:34 a.m. GMT-5","Si, acepto participar.","EV2-PAC-15","Familiar o cuidador","Si","A veces","3","5","4","Dolor","5","3","Tal vez","Si, pero solo con autorizacion previa","Imagenes o videos;Reportes de avance","Solo el paciente","","","","","","","","","",""
"2026/08/02 12:59:43 a.m. GMT-5","Si, acepto participar.","EV2-PAC-16","Paciente o ex paciente de terapia fisica","Si","Si","5","5","5","Olvidar los ejercicios","2","3","Si","Tal vez","Datos personales;Imagenes o videos;Datos de contacto","El paciente y el fisioterapeuta","","","","","","","","","",""
"2026/08/02 1:10:11 a.m. GMT-5","Si, acepto participar.","EV2-PAC-17","Paciente o ex paciente de terapia fisica","Actualmente esta en terapia","Si","5","5","5","No saber si realiza bien el ejercicio","5","5","Si","Si, pero solo con autorizacion previa","Datos personales;Imagenes o videos;Historial de terapia;Reportes de avance","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 1:28:05 a.m. GMT-5","Si, acepto participar.","EV2-PAC-18","Familiar o cuidador","Si","A veces","2","2","5","Falta de ayuda o supervision","3","4","Si","No estoy seguro/a","Datos personales;Historial de terapia;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 1:35:18 a.m. GMT-5","Si, acepto participar.","EV2-PAC-19","Paciente o ex paciente de terapia fisica","Si","No","2","4","5","No saber si realiza bien el ejercicio","5","3","Si","No","Datos personales;Imagenes o videos","Solo el paciente","","","","","","","","","",""
"2026/08/02 1:44:00 a.m. GMT-5","Si, acepto participar.","EV2-PAC-20","Familiar o cuidador","Si","A veces","5","4","5","Olvidar los ejercicios","3","5","Si","Si","Datos personales;Historial de terapia;Dolor o cansancio","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 1:49:49 a.m. GMT-5","Si, acepto participar.","EV2-PAC-21","Familiar o cuidador","Si","Si","3","4","3","Olvidar los ejercicios","5","4","Si","Si, pero solo con autorizacion previa","Datos personales;Imagenes o videos;Historial de terapia;Dolor o cansancio;Reportes de avance","Solo el paciente","","","","","","","","","",""
"2026/08/02 1:55:05 a.m. GMT-5","Si, acepto participar.","EV2-PAC-22","Familiar o cuidador","Si","A veces","5","4","4","Olvidar la cantidad de repeticiones","3","4","Si","Si","Datos personales;Historial de terapia;Dolor o cansancio;Reportes de avance","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 1:57:44 a.m. GMT-5","Si, acepto participar.","EV2-PAC-23","Paciente o ex paciente de terapia fisica","Si","Si","3","3","4","Cansancio o fatiga","3","4","Si","Si, pero solo con autorizacion previa","Historial de terapia;Datos de contacto","El paciente y el fisioterapeuta","","","","","","","","","",""
"2026/08/02 1:58:55 a.m. GMT-5","Si, acepto participar.","EV2-PAC-24","Familiar o cuidador","Si","A veces","4","5","4","Olvidar la cantidad de repeticiones","4","4","Si","Si, pero solo con autorizacion previa","Datos personales;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 1:59:33 a.m. GMT-5","Si, acepto participar.","EV2-PAC-25","Paciente o ex paciente de terapia fisica","Si","Si","3","3","4","Falta de ayuda o supervision","5","4","Si","Si, pero solo con autorizacion previa","Datos personales;Imagenes o videos;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 2:00:12 a.m. GMT-5","Si, acepto participar.","EV2-PAC-26","Paciente o ex paciente de terapia fisica","Si","Si","5","4","5","No saber si realiza bien el ejercicio","4","4","Tal vez","Si, pero solo con autorizacion previa","Datos personales;Imagenes o videos","El paciente y el fisioterapeuta","","","","","","","","","",""
"2026/08/02 2:01:34 a.m. GMT-5","Si, acepto participar.","EV2-PAC-28","Familiar o cuidador","Si","Si","4","4","3","Falta de ayuda o supervision","4","4","Si","Si, pero solo con autorizacion previa","Datos personales;Historial de terapia;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 2:02:12 a.m. GMT-5","Si, acepto participar.","EV2-PAC-29","Paciente o ex paciente de terapia fisica","Si","Si","4","4","4","Olvidar la cantidad de repeticiones","5","3","Si","Si, pero solo con autorizacion previa","Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 2:03:00 a.m. GMT-5","Si, acepto participar.","EV2-PAC-30","Paciente o ex paciente de terapia fisica","Si","Si","5","5","5","Olvidar la cantidad de repeticiones","5","5","Si","Si","Datos personales;Imagenes o videos;Historial de terapia;Reportes de avance;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 2:05:04 a.m. GMT-5","Si, acepto participar.","EV2-PAC-27","Familiar o cuidador","Si","Si","4","5","4","No saber si realiza bien el ejercicio","4","5","Tal vez","Si, pero solo con autorizacion previa","Imagenes o videos;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 8:37:15 a.m. GMT-5","Si, acepto participar.","EV2-PAC-31","Paciente o ex paciente de terapia fisica","Si","Si","5","4","4","Olvidar la cantidad de repeticiones","3","4","Si","Si, pero solo con autorizacion previa","Datos personales;Dolor o cansancio;Reportes de avance;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 8:38:08 a.m. GMT-5","Si, acepto participar.","EV2-PAC-32","Paciente o ex paciente de terapia fisica","Si","Si","4","5","5","Olvidar los ejercicios","4","4","Si","Si","Imagenes o videos;Dolor o cansancio;Datos de contacto","El paciente y el fisioterapeuta","","","","","","","","","",""
"2026/08/02 8:38:49 a.m. GMT-5","Si, acepto participar.","EV2-PAC-33","Paciente o ex paciente de terapia fisica","Si","Si","4","4","5","Dolor","4","5","Si","Si","Datos personales;Dolor o cansancio;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 8:39:40 a.m. GMT-5","Si, acepto participar.","EV2-PAC-34","Paciente o ex paciente de terapia fisica","Si","Si","4","5","3","Otra","4","5","Si","Si, pero solo con autorizacion previa","Imagenes o videos;Historial de terapia;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 8:40:30 a.m. GMT-5","Si, acepto participar.","EV2-PAC-35","Paciente o ex paciente de terapia fisica","Si","Si","4","4","4","Olvidar la cantidad de repeticiones","4","4","Si","Si, pero solo con autorizacion previa","Datos personales;Reportes de avance;Datos de contacto","El paciente y el fisioterapeuta","","","","","","","","","",""
"2026/08/02 8:41:17 a.m. GMT-5","Si, acepto participar.","EV2-PAC-36","Paciente o ex paciente de terapia fisica","Si","Si","5","4","3","Falta de ayuda o supervision","4","5","Si","Si, pero solo con autorizacion previa","Datos personales;Imagenes o videos;Historial de terapia;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 8:42:04 a.m. GMT-5","Si, acepto participar.","EV2-PAC-38","Paciente o ex paciente de terapia fisica","Si","Si","4","4","5","No saber si realiza bien el ejercicio","5","5","Si","Si, pero solo con autorizacion previa","Datos personales;Imagenes o videos;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 8:43:35 a.m. GMT-5","Si, acepto participar.","EV2-PAC-37","Paciente o ex paciente de terapia fisica","Si","Si","4","5","2","Olvidar los ejercicios","4","5","Si","Si, pero solo con autorizacion previa","Datos personales;Historial de terapia;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 8:44:21 a.m. GMT-5","Si, acepto participar.","EV2-PAC-39","Paciente o ex paciente de terapia fisica","Si","Si","4","5","5","Falta de ayuda o supervision","4","5","Si","Si, pero solo con autorizacion previa","Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/02 8:45:03 a.m. GMT-5","Si, acepto participar.","EV2-PAC-40","Paciente o ex paciente de terapia fisica","Si","Si","4","5","3","Olvidar los ejercicios","5","5","Si","Si, pero solo con autorizacion previa","Imagenes o videos;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
