ID_Traza,Fuente,Requisito,Caso_Uso,Clase_UML,Proceso_DFD,Estado,Historia_Usuario,BDD,Caso_Prueba,Prioridad,Estado_Traza
TR-018,EV-ENT-03,RF-18,CU-04,Fisioterapeuta; Paciente; Rutina; EjercicioAsignado; Ejercicio; Notificacion,P4,Rutina asignada,HU-18,BDD-18,CP-18,Must,Completa
TR-019,EV-ENT-03,RF-19,CU-05,Paciente; SesionTerapia; EjecucionEjercicio; EvidenciaMultimedia; ConsentimientoInformado,P5,En seguimiento / Sesion en ejecucion / Progreso actualizado,HU-19,BDD-19,CP-19,Must,Completa
TR-020,"EV-ENT-03, EV-CONS-01",RF-20,CU-05,Paciente; SesionTerapia; EjecucionEjercicio; EvidenciaMultimedia; ConsentimientoInformado,P5,En seguimiento / Sesion en ejecucion / Progreso actualizado,HU-20,BDD-20,CP-20,Must,Completa
TR-021,EV-ENT-03,RF-21,CU-06,AnalisisMovimiento; Repeticion; Alerta; Recomendacion,P6,Sesion en ejecucion / Progreso actualizado,HU-21,BDD-21,CP-21,Must,Completa
TR-022,EV-ENT-03,RF-22,CU-06,AnalisisMovimiento; Repeticion; Alerta; Recomendacion,P6,Sesion en ejecucion / Progreso actualizado,HU-22,BDD-22,CP-22,Must,Completa
TR-023,EV-ENT-03,RF-23,CU-06,AnalisisMovimiento; Repeticion; Alerta; Recomendacion,P6,Sesion en ejecucion / Progreso actualizado,HU-23,BDD-23,CP-23,Must,Completa
TR-024,EV-ENT-03,RF-24,CU-06,AnalisisMovimiento; Repeticion; Alerta; Recomendacion,P6,Sesion en ejecucion / Progreso actualizado,HU-24,BDD-24,CP-24,Must,Completa
TR-025,"EV-ENT-01, EV-ENT-03",RF-25,CU-06,AnalisisMovimiento; Repeticion; Alerta; Recomendacion,P6,Sesion en ejecucion / Progreso actualizado,HU-25,BDD-25,CP-25,Should,Completa
TR-026,EV-ENT-03,RF-26,CU-05,Paciente; SesionTerapia; EjecucionEjercicio; EvidenciaMultimedia; ConsentimientoInformado,P5,En seguimiento / Sesion en ejecucion / Progreso actualizado,HU-26,BDD-26,CP-26,Must,Completa
TR-027,"EV-ENT-01, EV-ENT-02",RF-27,CU-07,Paciente; SesionTerapia; IndicadorClinico; Reporte,P7,En seguimiento / Progreso actualizado / Alta terapeutica,HU-27,BDD-27,CP-27,Must,Completa
TR-028,EV-ENT-03,RF-28,CU-08,Alerta; Recomendacion; Notificacion; SesionTerapia; Fisioterapeuta,P8,Alerta pendiente / Revisada / Atendida,HU-28,BDD-28,CP-28,Should,Completa
TR-029,EV-ENT-03,RF-29,CU-08,Alerta; Recomendacion; Notificacion; SesionTerapia; Fisioterapeuta,P8,Alerta pendiente / Revisada / Atendida,HU-29,BDD-29,CP-29,Could,Completa
TR-030,"EV-ENT-01, EV-ENT-02",RF-30,CU-07,Paciente; SesionTerapia; IndicadorClinico; Reporte,P7,En seguimiento / Progreso actualizado / Alta terapeutica,HU-30,BDD-30,CP-30,Should,Completa
TR-031,EV-ENT-03,RF-31,CU-04 / CU-08,Fisioterapeuta; Paciente; Rutina; EjercicioAsignado; Ejercicio; Notificacion; Alerta; Recomendacion; SesionTerapia,P4,Rutina asignada / Alerta pendiente / Revisada / Atendida,HU-31,BDD-31,CP-31,Should,Completa
TR-032,EV-CONS-01,RF-32,CU-10,FamiliarCuidador; Paciente; ConsentimientoInformado; Reporte,P9,Consentimiento: Vigente / Revocado,HU-32,BDD-32,CP-32,Could,Completa
TR-033,RFC-01 / CCB PE4,RF-33,CU-08,Alerta; Recomendacion; Notificacion; SesionTerapia; Fisioterapeuta,P8,Alerta pendiente / Revisada / Atendida,HU-33,BDD-33,CP-33,Should,Completa
TR-034,ISO/IEC 25010:2023; EV2 cuestionario/walkthrough,RNF-01,CU-01 / CU-04,Usuario; Rutina; EjercicioAsignado,P1 / P4,Cuenta activa / Rutina asignada,N/A,BDD-RNF-01,CP-RNF-01,Must,Completa
TR-035,ISO/IEC 25010:2023; proyecto,RNF-02,CU-01 / CU-02 / CU-04 / CU-07,Usuario; Paciente; Rutina; Reporte,P1 / P2 / P4 / P7,Transversal,N/A,BDD-RNF-02,CP-RNF-02,Must,Completa
TR-036,ISO/IEC 25010:2023; RF-20/RF-21,RNF-03,CU-05 / CU-06,SesionTerapia; AnalisisMovimiento,P5 / P6,Sesion en ejecucion,N/A,BDD-RNF-03,CP-RNF-03,Should,Completa
TR-037,RF-23/RF-24; proyecto,RNF-04,CU-06,AnalisisMovimiento; Repeticion,P6,Sesion en ejecucion,N/A,BDD-RNF-04,CP-RNF-04,Should,Completa
TR-038,ISO/IEC 25010:2023; proyecto,RNF-05,CU-01,Usuario; Rol,P1,Cuenta activa / Sesion cerrada,N/A,BDD-RNF-05,CP-RNF-05,Must,Completa
TR-039,LOPDP; EV-CONS-01,RNF-06,CU-01 / CU-09 / CU-10,Usuario; Rol; ConsentimientoInformado; Reporte,P1 / P9,Cuenta activa / Consentimiento vigente,N/A,BDD-RNF-06,CP-RNF-06,Must,Completa
TR-040,ISO/IEC 25010:2023; proyecto,RNF-07,CU-01 a CU-10,Transversal a componentes del sistema,P1-P9,Transversal,N/A,BDD-RNF-07,CP-RNF-07,Should,Completa
TR-041,ISO/IEC 25010:2023; proyecto,RNF-08,CU-02 / CU-03 / CU-04 / CU-05,Paciente; EvaluacionInicial; PlanTerapeutico; Rutina; SesionTerapia,P2 / P3 / P4 / P5,Transversal,N/A,BDD-RNF-08,CP-RNF-08,Must,Completa
TR-042,ISO/IEC 25010:2023; proyecto,RNF-09,CU-05,SesionTerapia; EvidenciaMultimedia,P5,Sesion en ejecucion,N/A,BDD-RNF-09,CP-RNF-09,Should,Completa
TR-043,ISO/IEC 25010:2023; PE5 C8,RNF-10,CU-01 a CU-10,Transversal,P1-P9,Transversal,N/A,BDD-RNF-10,CP-RNF-10,Should,Completa
TR-044,ISO/IEC 25010:2023; walkthrough,RNF-11,CU-01 a CU-10,Interfaces asociadas a Usuario/Paciente/Fisioterapeuta,P1-P9,Transversal,N/A,BDD-RNF-11,CP-RNF-11,Should,Completa
TR-045,LOPDP; EV-CONS-01; RES-02/RES-15,RNF-12,CU-05 / CU-10,ConsentimientoInformado; EvidenciaMultimedia; FamiliarCuidador,P5 / P9,Consentimiento vigente / revocado,N/A,BDD-RNF-12,CP-RNF-12,Must,Completa
TR-046,RFC-02 / CCB PE4,RNF-13,CU-08,Alerta; SesionTerapia; Fisioterapeuta,P8,Alerta pendiente,N/A,BDD-RNF-13,CP-RNF-13,Should,Completa
TR-047,PE5; LOPDP; ISO/IEC 25010:2023,RNF-14,CU-02 / CU-03 / CU-04 / CU-08 / CU-09 / CU-10,Usuario; Rol; Paciente; PlanTerapeutico; Alerta; ConsentimientoInformado,P1 / P2 / P3 / P4 / P8 / P9,Transversal,N/A,BDD-RNF-14,CP-RNF-14,Must,Completa
TR-048,PE5; ISO/IEC 25010:2023,RNF-15,CU-01 a CU-10,Entidades persistentes del dominio,P1-P9,Transversal,N/A,BDD-RNF-15,CP-RNF-15,Should,Completa
TR-049,PE5 C3; RF-21 a RF-25,RNF-IA1-P01,CU-06,AnalisisMovimiento; Repeticion,P6,Sesion en ejecucion,N/A,BDD-RNF-IA1-P01,CP-RNF-IA1-P01,Should,Completa
TR-050,PE5 C3; principios de equidad; consentimiento,RNF-IA1-EQ01,CU-06,AnalisisMovimiento; Paciente,P6,Sesion en ejecucion,N/A,BDD-RNF-IA1-EQ01,CP-RNF-IA1-EQ01,Should,Completa
TR-051,PE5 C3; protocolo de evaluación,RNF-IA1-EQ02,CU-06,AnalisisMovimiento; Paciente,P6,Sesion en ejecucion,N/A,BDD-RNF-IA1-EQ02,CP-RNF-IA1-EQ02,Should,Completa
TR-052,RNF-XAI-01 del ERS; PE5 C3,RNF-IA1-XAI01,CU-06,AnalisisMovimiento; Recomendacion,P6,Sesion en ejecucion,N/A,BDD-RNF-IA1-XAI01,CP-RNF-IA1-XAI01,Must,Completa
TR-053,PE5 C3; RF-28/RF-29/RF-33,RNF-IA2-P01,CU-08,Alerta; Recomendacion,P8,Alerta pendiente,N/A,BDD-RNF-IA2-P01,CP-RNF-IA2-P01,Should,Completa
TR-054,PE5 C3; seguridad clínica,RNF-IA2-P02,CU-08,Alerta; Recomendacion,P8,Alerta pendiente,N/A,BDD-RNF-IA2-P02,CP-RNF-IA2-P02,Must,Completa
TR-055,PE5 C3; RNF-13,RNF-IA2-P03,CU-08,Alerta; Recomendacion,P8,Alerta pendiente,N/A,BDD-RNF-IA2-P03,CP-RNF-IA2-P03,Should,Completa
TR-056,PE5 C3; principios de equidad,RNF-IA2-EQ01,CU-08,Alerta; Paciente,P8,Alerta pendiente,N/A,BDD-RNF-IA2-EQ01,CP-RNF-IA2-EQ01,Should,Completa
TR-057,PE5 C3; protocolo de evaluación,RNF-IA2-EQ02,CU-08,Alerta; Paciente,P8,Alerta pendiente,N/A,BDD-RNF-IA2-EQ02,CP-RNF-IA2-EQ02,Should,Completa
TR-058,PE5 C3; RF-28/RF-29; RES-01/RES-03,RNF-IA2-XAI01,CU-08,Alerta; Recomendacion,P8,Alerta pendiente,N/A,BDD-RNF-IA2-XAI01,CP-RNF-IA2-XAI01,Must,Completa
