ID,Ley,Articulo,Objetivo,Stakeholder,Evidencia,Requisito,Caso_Uso,Historia_Usuario,Criterio_Aceptacion,Componente,Mockup,Prioridad,Estado
TR-011,,,OBJ-01 Control y seguimiento terapéutico,Paciente/Fisioterapeuta,DOC-02; EV2-PAC-01 a EV2-PAC-14,RF-11 - Registrar nivel de dolor,CU-02,HU-11,CA-11.1,CMP-03 Evaluación terapéutica,MU-11 Registro de dolor,Must | Básico | WSJF 8.67,Validado e implementado en MVP
TR-012,,,OBJ-01 Control y seguimiento terapéutico,Paciente/Fisioterapeuta,DOC-02; EV2-PAC-01 a EV2-PAC-14,RF-12 - Registrar nivel de fatiga,CU-02,HU-12,CA-12.1,CMP-03 Evaluación terapéutica,MU-11 Registro de fatiga,Must | Básico | WSJF 8.67,Validado e implementado en MVP
TR-013,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-02; EV2-ENT-01,RF-13 - Registrar capacidad funcional,CU-02,HU-13,CA-13.1,CMP-03 Evaluación terapéutica,MU-05 Evaluación inicial,Must | Básico | WSJF 8.67,Validado e implementado en MVP
TR-014,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-02; WALK-TEC-01,RF-14 - Registrar observaciones por sesión,CU-02,HU-14,CA-14.1,CMP-03 Evaluación terapéutica,MU-05 Evaluación inicial,Must | Básico | WSJF 8.67,Validado e implementado en MVP
TR-015,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-03; EV2-ENT-01,RF-15 - Crear plan terapéutico personalizado,CU-03,HU-15,CA-15.1,CMP-04 Plan terapéutico,MU-06 Plan terapéutico,Must | Básico | WSJF 5.40,Validado e implementado en MVP
TR-016,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-03; WALK-TEC-02,RF-16 - Gestionar catálogo de ejercicios,CU-03,HU-16,CA-16.1,CMP-05 Catálogo de ejercicios,MU-07 Catálogo de ejercicios,Must | Desempeño | WSJF 5.20,Validado e implementado en MVP
TR-017,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-03; WALK-TEC-01,RF-17 - Asignar rutina terapéutica,CU-04,HU-17,CA-17.1,CMP-06 Rutinas,MU-08 Asignación de rutina,Must | Básico | WSJF 5.40,Validado e implementado en MVP
TR-018,,,OBJ-01 Control y seguimiento terapéutico,Paciente,WALK-NTEC-01; EV2-PAC-01 a EV2-PAC-14,RF-18 - Mostrar guías visuales,CU-04,HU-18,CA-18.1,CMP-06 Rutinas,MU-09 Panel del paciente,Must | Desempeño | WSJF 5.20,Validado e implementado en MVP
TR-019,,,"OBJ-02 Seguimiento remoto, IA y progreso",Paciente,WALK-NTEC-01,RF-19 - Iniciar sesión remota de ejercicios,CU-05,HU-19,CA-19.1,CMP-07 Ejecución remota,MU-10 Ejercicio guiado,Should | Desempeño | WSJF 5.50,Validado
TR-020,LOPDP,"Arts. 10, 12, 16, 25 y 40","OBJ-02 Seguimiento remoto, IA y progreso",Paciente,WALK-NTEC-01; CUEST-01,RF-20 - Capturar movimiento con cámara,CU-05,HU-20,CA-20.1,CMP-08 Captura de cámara,MU-10 Ejercicio con cámara,Must | Básico | WSJF 6.00,Validado e implementado en MVP
TR-021,,,"OBJ-02 Seguimiento remoto, IA y progreso",Paciente/Fisioterapeuta,WALK-TEC-01; WALK-TEC-02,RF-21 - Analizar movimiento del paciente,CU-06,HU-21,CA-21.1,CMP-09 Análisis de movimiento,MU-10 Ejercicio con cámara,Should | Desempeño | WSJF 3.67,Validado
TR-022,,,"OBJ-02 Seguimiento remoto, IA y progreso",Paciente/Fisioterapeuta,WALK-TEC-01; WALK-TEC-02,RF-22 - Detectar errores de postura,CU-06,HU-22,CA-22.1,CMP-09 Análisis de movimiento,MU-10 Ejercicio con cámara,Should | Desempeño | WSJF 3.67,Validado
TR-023,,,"OBJ-02 Seguimiento remoto, IA y progreso",Paciente/Fisioterapeuta,WALK-TEC-01,RF-23 - Contar repeticiones correctas,CU-06,HU-23,CA-23.1,CMP-09 Análisis de movimiento,MU-10 Ejercicio con cámara,Should | Desempeño | WSJF 3.67,Validado
TR-024,,,"OBJ-02 Seguimiento remoto, IA y progreso",Paciente/Fisioterapeuta,WALK-TEC-01,RF-24 - Rechazar repeticiones incorrectas,CU-06,HU-24,CA-24.1,CMP-09 Análisis de movimiento,MU-10 Ejercicio con cámara,Should | Desempeño | WSJF 3.67,Validado
TR-025,,,"OBJ-02 Seguimiento remoto, IA y progreso",Paciente,WALK-NTEC-01; WALK-TEC-02,RF-25 - Generar retroalimentación automática,CU-06,HU-25,CA-25.1,CMP-09 Análisis de movimiento,MU-12 Retroalimentación,Should | Atractivo | WSJF 3.67,Validado
TR-026,LOPDP,"Arts. 10, 12, 16, 25 y 40","OBJ-02 Seguimiento remoto, IA y progreso",Paciente,EV2-PAC-01 a EV2-PAC-14,RF-26 - Registrar evidencia de cumplimiento,CU-05,HU-26,CA-26.1,CMP-10 Seguimiento,MU-13 Seguimiento,Must | Básico | WSJF 8.67,Validado e implementado en MVP
TR-027,LOPDP,"Arts. 10, 12, 16, 25 y 40","OBJ-02 Seguimiento remoto, IA y progreso",Paciente/Fisioterapeuta,EV2-PAC-01 a EV2-PAC-14; CUEST-01,RF-27 - Visualizar progreso terapéutico,CU-07,HU-27,CA-27.1,CMP-10 Seguimiento,MU-14 Progreso,Must | Desempeño | WSJF 8.67,Validado e implementado en MVP
TR-028,LOPDP,"Arts. 10, 12, 16, 25 y 40","OBJ-02 Seguimiento remoto, IA y progreso",Fisioterapeuta,EV2-ENT-01; WALK-TEC-02,RF-28 - Generar alertas terapéuticas,CU-08,HU-28,CA-28.1,CMP-11 Alertas,MU-15 Alertas,Must | Básico | WSJF 6.00,Validado e implementado en MVP
TR-029,,,"OBJ-02 Seguimiento remoto, IA y progreso",Fisioterapeuta,EV2-ENT-01; WALK-TEC-02,RF-29 - Generar recomendaciones de seguimiento,CU-08,HU-29,CA-29.1,CMP-11 Alertas,MU-15 Alertas,Should | Desempeño | WSJF 5.50,Validado
TR-030,LOPDP,"Arts. 10, 12, 16, 25 y 40","OBJ-02 Seguimiento remoto, IA y progreso",Fisioterapeuta,DOC-02; WALK-TEC-01,RF-30 - Generar reportes del tratamiento,CU-07,HU-30,CA-30.1,CMP-12 Reportes,MU-16 Reportes,Must | Básico | WSJF 5.40,Validado e implementado en MVP
TR-031,,,"OBJ-02 Seguimiento remoto, IA y progreso",Paciente,CUEST-01; WALK-NTEC-01,RF-31 - Enviar recordatorios automáticos,CU-08,HU-31,CA-31.1,CMP-13 Notificaciones,MU-17 Recordatorios,Must | Básico | WSJF 8.67,Validado e implementado en MVP
TR-032,LOPDP,"Arts. 10, 12, 16, 25 y 40","OBJ-02 Seguimiento remoto, IA y progreso",Familiar/cuidador autorizado,CUEST-01; EV2-PAC-01 a EV2-PAC-14,RF-32 - Consultar avance autorizado,CU-07,HU-32,CA-32.1,CMP-14 Privacidad y acceso autorizado,MU-18 Privacidad,Could | Atractivo | WSJF 4.67,Validado
TR-033,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-01 - Adecuación funcional verificable,CU-01 a CU-08,HU-RNF-01,CA-RNF-01.1,Arquitectura transversal,MU-01 a MU-18,Must | Básico | WSJF 8.00,Validado
TR-034,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-02 - Tiempo de respuesta de operaciones,CU-01 a CU-08,HU-RNF-02,CA-RNF-02.1,Arquitectura transversal,MU-01 a MU-18,Must | Básico | WSJF 8.00,Validado
TR-035,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-03 - Rendimiento del análisis de movimiento,CU-01 a CU-08,HU-RNF-03,CA-RNF-03.1,Arquitectura transversal,MU-01 a MU-18,Should | Desempeño | WSJF 5.50,Validado
TR-036,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-04 - Compatibilidad con navegadores y dispositivos,CU-01 a CU-08,HU-RNF-04,CA-RNF-04.1,Arquitectura transversal,MU-01 a MU-18,Should | Desempeño | WSJF 5.50,Validado
TR-037,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-05 - Facilidad de aprendizaje e interacción,CU-01 a CU-08,HU-RNF-05,CA-RNF-05.1,Arquitectura transversal,MU-01 a MU-18,Should | Desempeño | WSJF 5.50,Validado
TR-038,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-06 - Accesibilidad y claridad de interfaces,CU-01 a CU-08,HU-RNF-06,CA-RNF-06.1,Arquitectura transversal,MU-01 a MU-18,Should | Desempeño | WSJF 5.50,Validado
TR-039,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-07 - Disponibilidad del servicio,CU-01 a CU-08,HU-RNF-07,CA-RNF-07.1,Arquitectura transversal,MU-01 a MU-18,Must | Básico | WSJF 8.00,Validado
TR-040,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-08 - Recuperación y respaldo de información,CU-01 a CU-08,HU-RNF-08,CA-RNF-08.1,Arquitectura transversal,MU-01 a MU-18,Should | Desempeño | WSJF 5.50,Validado
TR-041,LOPDP,"Arts. 10, 12, 25, 40 y 47","OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-09 - Autenticación y control de acceso,CU-01 a CU-08,HU-RNF-09,CA-RNF-09.1,Arquitectura transversal,MU-01 a MU-18,Must | Básico | WSJF 8.00,Validado
TR-042,LOPDP,"Arts. 10, 12, 25, 40 y 47","OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-10 - Confidencialidad y cifrado de datos,CU-01 a CU-08,HU-RNF-10,CA-RNF-10.1,Arquitectura transversal,MU-01 a MU-18,Must | Básico | WSJF 8.00,Validado
TR-043,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-11 - Mantenibilidad y modularidad,CU-01 a CU-08,HU-RNF-11,CA-RNF-11.1,Arquitectura transversal,MU-01 a MU-18,Should | Desempeño | WSJF 5.50,Validado
TR-044,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-12 - Portabilidad de la aplicación web,CU-01 a CU-08,HU-RNF-12,CA-RNF-12.1,Arquitectura transversal,MU-01 a MU-18,Should | Desempeño | WSJF 5.50,Validado
TR-045,,,"OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-13 - Flexibilidad y configuración de rutinas,CU-01 a CU-08,HU-RNF-13,CA-RNF-13.1,Arquitectura transversal,MU-01 a MU-18,Should | Desempeño | WSJF 5.50,Validado
TR-046,LOPDP,"Arts. 10, 12, 25, 40 y 47","OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,RNF-14 - Explicabilidad de resultados de IA,CU-01 a CU-08,HU-RNF-14,CA-RNF-14.1,Arquitectura transversal,MU-01 a MU-18,Must | Básico | WSJF 8.00,Validado
TR-047,LOPDP,"Arts. 10, 12, 25, 40 y 47","OBJ-03 Garantizar calidad, seguridad y cumplimiento",Todos los usuarios / Centro de rehabilitación,EV2-ENT-01; CUEST-01; WALK-TEC-01; WALK-TEC-02; WALK-NTEC-01,"RNF-15 - Privacidad, consentimiento y minimización de datos",CU-01 a CU-08,HU-RNF-15,CA-RNF-15.1,Arquitectura transversal,MU-01 a MU-18,Must | Básico | WSJF 8.00,Validado
TR-048,,,"OBJ-04 Respetar restricciones técnicas, clínicas y legales",Equipo desarrollador / Fisioterapeuta / Centro de rehabilitación,EV2-ENT-01; DOC-01 a DOC-03; WALK-TEC-01; WALK-TEC-02,RD-01 - Aplicación web responsive,CU-01 a CU-08,HU-RD-01,CA-RD-01.1,Arquitectura y despliegue,No aplica / transversal,Must | Básico | WSJF 8.00,Validado
TR-049,LOPDP,"Arts. 10, 12, 25 y 40","OBJ-04 Respetar restricciones técnicas, clínicas y legales",Equipo desarrollador / Fisioterapeuta / Centro de rehabilitación,EV2-ENT-01; DOC-01 a DOC-03; WALK-TEC-01; WALK-TEC-02,RD-02 - Consentimiento previo al uso de cámara,CU-01 a CU-08,HU-RD-02,CA-RD-02.1,Arquitectura y despliegue,No aplica / transversal,Must | Básico | WSJF 8.00,Validado
TR-050,,,"OBJ-04 Respetar restricciones técnicas, clínicas y legales",Equipo desarrollador / Fisioterapeuta / Centro de rehabilitación,EV2-ENT-01; DOC-01 a DOC-03; WALK-TEC-01; WALK-TEC-02,RD-03 - La IA no diagnostica ni prescribe tratamientos,CU-01 a CU-08,HU-RD-03,CA-RD-03.1,Arquitectura y despliegue,No aplica / transversal,Must | Básico | WSJF 8.00,Validado
TR-051,,,"OBJ-04 Respetar restricciones técnicas, clínicas y legales",Equipo desarrollador / Fisioterapeuta / Centro de rehabilitación,EV2-ENT-01; DOC-01 a DOC-03; WALK-TEC-01; WALK-TEC-02,RD-04 - Compatibilidad con navegadores actuales,CU-01 a CU-08,HU-RD-04,CA-RD-04.1,Arquitectura y despliegue,No aplica / transversal,Must | Básico | WSJF 8.00,Validado
TR-052,,,"OBJ-04 Respetar restricciones técnicas, clínicas y legales",Equipo desarrollador / Fisioterapeuta / Centro de rehabilitación,EV2-ENT-01; DOC-01 a DOC-03; WALK-TEC-01; WALK-TEC-02,RD-05 - Cámara mínima recomendada de 720p,CU-01 a CU-08,HU-RD-05,CA-RD-05.1,Arquitectura y despliegue,No aplica / transversal,Must | Básico | WSJF 8.00,Validado
TR-053,,,"OBJ-04 Respetar restricciones técnicas, clínicas y legales",Equipo desarrollador / Fisioterapeuta / Centro de rehabilitación,EV2-ENT-01; DOC-01 a DOC-03; WALK-TEC-01; WALK-TEC-02,RD-06 - Arquitectura modular por componentes,CU-01 a CU-08,HU-RD-06,CA-RD-06.1,Arquitectura y despliegue,No aplica / transversal,Must | Básico | WSJF 8.00,Validado
TR-054,,,"OBJ-04 Respetar restricciones técnicas, clínicas y legales",Equipo desarrollador / Fisioterapeuta / Centro de rehabilitación,EV2-ENT-01; DOC-01 a DOC-03; WALK-TEC-01; WALK-TEC-02,RD-07 - Base de datos centralizada y respaldada,CU-01 a CU-08,HU-RD-07,CA-RD-07.1,Arquitectura y despliegue,No aplica / transversal,Must | Básico | WSJF 8.00,Validado
TR-055,LOPDP,"Arts. 10, 12, 25 y 40","OBJ-04 Respetar restricciones técnicas, clínicas y legales",Equipo desarrollador / Fisioterapeuta / Centro de rehabilitación,EV2-ENT-01; DOC-01 a DOC-03; WALK-TEC-01; WALK-TEC-02,RD-08 - Cumplimiento de la LOPDP y separación de zona pública/restringida,CU-01 a CU-08,HU-RD-08,CA-RD-08.1,Arquitectura y despliegue,No aplica / transversal,Must | Básico | WSJF 8.00,Validado
