codigo_evidencia,tipo,archivo_origen,ruta_restringida,publicacion_texto_completo,justificacion
EV2-PAC-09,Walkthrough,Transcripcion_Video_ACTA WALKTHROUGH_EV2-PAC-09_Arreglado.pdf,Entrevistas/EV2-PAC-09/Transcripcion_Video_ACTA WALKTHROUGH_EV2-PAC-09_Arreglado.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-09,Entrevista,Transcripcion_Video_Entrevista_Consentimiento_EV2-PAC-09_Arreglado.pdf,Entrevistas/EV2-PAC-09/Transcripcion_Video_Entrevista_Consentimiento_EV2-PAC-09_Arreglado.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-10,Entrevista,EV2-PAC-10_Transcripcion.pdf,Entrevistas/EV2-PAC-10/EV2-PAC-10_Transcripcion.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-10,Walkthrough,EV2-PAC-10_Transcripción_Walkthrough.pdf,Entrevistas/EV2-PAC-10/EV2-PAC-10_Transcripción_Walkthrough.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-11,Walkthrough,EV2-PAC-11_Transcripción_Walkthrough.pdf,Entrevistas/EV2-PAC-11/EV2-PAC-11_Transcripción_Walkthrough.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-12,Walkthrough,EV2-PAC-12_Transcripción_Walkthrough.pdf,Entrevistas/EV2-PAC-12/EV2-PAC-12_Transcripción_Walkthrough.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-13,Walkthrough,EV2-PAC-13_Transcripción_Walkthrough.pdf,Entrevistas/EV2-PAC-13/EV2-PAC-13_Transcripción_Walkthrough.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-14,Walkthrough,EV2-PAC-14_Transcripción_Walkthrough.pdf,Entrevistas/EV2-PAC-14/EV2-PAC-14_Transcripción_Walkthrough.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
WALK-NTEC-01,Walkthrough,WALK-NTEC-01_Transcripción_Walkthrough.pdf,Entrevistas/WALK-NTEC-01/WALK-NTEC-01_Transcripción_Walkthrough.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
WALK-TEC-01,Entrevista,WALK-TEC-01_Transcripción_Entrevista.pdf,Entrevistas/WALK-TEC-01/WALK-TEC-01_Transcripción_Entrevista.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
WALK-TEC-01,Walkthrough,WALK-TEC-01_Transcripción_Walkthrough.pdf,Entrevistas/WALK-TEC-01/WALK-TEC-01_Transcripción_Walkthrough.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
